FileName_DAPI;MD5Digest_DAPI;Manual_Count_Nuclei;Manual_Count_PBL
Ea-24h-0gy-TNFa-A-_11_0002.tif;360164ba143010adfa01363f377fe8e2;349;6
Ea-24h-0gy-TNFa-B-_12_0002.tif;10a408a8baeb395ac360cd4d09b01e64;683;41
Ea-24h-05gy-TNFa-A-_15_0002.tif;44e2a301df7f5dca5d833b19508afa34;1791;11
Ea-24h-05gy-TNFa-B-_7_0002.tif;82847b5c199ba79b6afff8b897bf0104;175;3
